Commune,pm10,pm25,no2
LEVIS ST NOM,14,8,11
LEZAT SUR LEZE,,,
LIEUSAINT,17,9,17
LIMAY,16,9,14
LIMEIL BREVANNES,17,10,21
LIMETZ VILLEZ,16,9,10
LIMOGES FOURCHES,16,9,13
LIMOURS,15,8,17
LINAS,16,9,27
LISSES,17,9,21
LISSY,16,9,12
LIVERDY EN BRIE,15,8,8
LIVILLIERS,19,9,13
LIVRY GARGAN,22,12,30
LIVRY SUR SEINE,15,8,11
LIZINES,16,8,5
LIZY SUR OURCQ,17,9,9
LOGNES,17,10,23
LOMMOYE,15,9,9
LONGJUMEAU,18,10,32
LONGNES,16,9,10
LONGPERRIER,19,10,17
LONGPONT SUR ORGE,17,9,24
LONGUESSE,17,9,12
LONGUEVILLE,15,8,5
LONGVILLIERS,16,8,18
LORREZ LE BOCAGE PREAUX,15,8,6
LOUAN VILLEGRUIS FONTAINE,15,8,5
LOUVECIENNES,18,9,19
LOUVRES,21,10,21
LUISETAINES,16,9,5
LUMIGNY NESLES ORMEAUX,16,9,9
LUZANCY,15,9,6
LUZARCHES,20,9,15
MACHAULT,15,8,7
MADIERE,,,
MAFFLIERS,20,9,15
MAGNANVILLE,16,9,14
MAGNY EN VEXIN,19,9,10
MAGNY LE HONGRE,16,9,13
MAGNY LES HAMEAUX,15,9,15
MAINCY,15,9,13
MAISON ROUGE,15,8,6
MAISONCELLES EN BRIE,15,9,7
MAISONCELLES EN GATINAIS,15,8,6
MAISONS ALFORT,22,13,42
MAISONS LAFFITTE,19,10,19
MAISSE,16,9,13
MALAKOFF,18,11,27
MANDRES LES ROSES,16,9,17
MANTES LA JOLIE,17,9,14
MANTES LA VILLE,17,9,19
MARCHEMORET,17,9,14
MARCILLY,17,9,10
MARCOUSSIS,16,9,21
MARCQ,15,8,10
MAREIL EN FRANCE,21,10,16
MAREIL LE GUYON,14,8,10
MAREIL MARLY,17,9,17
MAREIL SUR MAULDRE,15,8,11
MAREUIL LES MEAUX,16,9,12
MARGENCY,21,11,18
MARINES,19,9,10
MARLES EN BRIE,15,8,7
MARLY LA VILLE,21,10,17
MARLY LE ROI,17,9,18
MARNES LA COQUETTE,19,10,23
MAROLLES EN BEAUCE,15,8,9
MAROLLES EN BRIE,17,9,21
MAROLLES EN HUREPOIX,15,9,19
MAROLLES SUR SEINE,15,9,7
MARY SUR MARNE,15,9,7
MASSY,19,11,34
MAUCHAMPS,14,8,15
MAUDETOUR EN VEXIN,16,9,9
MAULE,15,8,12
MAULETTE,16,8,10
MAUPERTHUIS,15,8,11
MAURECOURT,23,10,20
MAUREGARD,20,10,23
MAUREPAS,14,9,14
MAUVEZIN DE STE CROIX,21,13,40
MAY EN MULTIEN,16,9,7
MEAUX,18,9,14
MEDAN,18,10,16
MEIGNEUX,15,8,5
MEILLERAY,15,8,5
MELUN,19,10,21
MELZ SUR SEINE,15,9,5
MENERVILLE,15,8,8
MENNECY,15,9,18
MENOUVILLE,18,9,10
MENUCOURT,18,9,19
MERCENAC,,,
MERE,14,8,9
MEREVILLE,15,8,8
MERICOURT,16,9,11
MERIEL,21,10,17
MERIGON,,,
MEROBERT,15,8,9
MERY SUR MARNE,15,8,6
MERY SUR OISE,21,10,18
MESPUITS,15,8,8
MESSY,18,9,16
MEUDON,18,10,24
MEULAN EN YVELINES,17,9,14
MEZIERES SUR SEINE,17,9,18
MEZY SUR SEINE,17,9,14
MILLEMONT,14,8,9
MILLY LA FORET,15,8,11
MILON LA CHAPELLE,14,8,15
MIREPOIX,,,
MISY SUR YONNE,15,9,6
MITRY MORY,19,10,24
MITTAINVILLE,14,8,6
MOIGNY SUR ECOLE,15,8,9
